 ******* Program HYDRUS
 ******* 
 Replicate Fairfield dual perm model using runhydrus, add artificial KBr 
 Date:  31. 3.2026    Time:  18: 9:31
 Units: L = cm   , T = days , M = mmol 


 Time:     0.000000

 Node    Depth    Head   Moisture   HeadF  MoistureF      Flux       FluxF      Sink       Transf       TranS       Temp          ConcF       Conc(1...NS)
          [L]      [L]     [-]       [L]       [-]       [L/T]       [L/T]       [-]        [1/T]     [M/L3/T]        [C]         [M/L3]      [M/L3]
  70  -120.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  71  -122.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  72  -124.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  73  -126.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  74  -127.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  75  -129.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  76  -131.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  77  -133.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  78  -134.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  79  -136.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  80  -138.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  81  -140.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  82  -141.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  83  -143.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  84  -145.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  85  -147.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  86  -148.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  87  -150.50    -150.00 0.2708     -150.00 0.002707  -0.163E-01  -0.153E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  88  -152.25    -150.00 0.0562     -150.00 0.031714  -0.634E-02  -0.312E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  89  -154.00    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  90  -155.75    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  91  -157.50    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  92  -159.25    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  93  -161.00    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  94  -162.75    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  95  -164.50    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  96  -166.25    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  97  -168.00    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  98  -169.75    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  99  -171.50    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
 100  -173.25    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
 101  -175.00    -150.00 0.0562     -150.00 0.031714  -0.136E-02  -0.392E-03 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
end


 Time:  1334.000000

 Node    Depth    Head   Moisture   HeadF  MoistureF      Flux       FluxF      Sink       Transf       TranS       Temp          ConcF       Conc(1...NS)
          [L]      [L]     [-]       [L]       [-]       [L/T]       [L/T]       [-]        [1/T]     [M/L3/T]        [C]         [M/L3]      [M/L3]

   1     0.00    -413.02 0.2306     -329.62 0.010073   0.440E-01   0.102E-01 0.00000     0.798E-04   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2    -1.75    -277.35 0.2527     -324.22 0.010117   0.321E-01   0.935E-02 0.00000    -0.797E-04  -0.236E-02      20.000     0.673E+02   0.296E+02   0.000E+00   0.000E+00
   3    -3.50    -241.38 0.2605     -319.53 0.010154   0.107E-01   0.758E-02 0.00000    -0.166E-03  -0.134E-01      20.000     0.616E+02   0.800E+02   0.000E+00   0.000E+00
   4    -5.25    -237.94 0.2614     -315.53 0.010186  -0.634E-02   0.573E-02 0.00000    -0.173E-03  -0.247E-01      20.000     0.667E+02   0.143E+03   0.000E+00   0.000E+00
   5    -7.00    -257.16 0.2570     -312.20 0.010213  -0.189E-01   0.393E-02 0.00000    -0.108E-03  -0.202E-01      20.000     0.638E+02   0.187E+03   0.000E+00   0.000E+00
   6    -8.75    -305.67 0.2466     -309.46 0.010235  -0.273E-01   0.225E-02 0.00000    -0.501E-05  -0.113E-02      20.000     0.593E+02   0.226E+03   0.000E+00   0.000E+00
   7   -10.50    -344.10 0.2168     -306.78 0.001769  -0.322E-01   0.109E-02 0.00000     0.154E-05   0.796E-04      20.000     0.514E+02   0.269E+03   0.000E+00   0.000E+00
   8   -12.25    -375.17 0.2115     -215.99 0.002193  -0.341E-01   0.541E-03 0.00000     0.123E-04   0.180E-03      20.000     0.145E+02   0.316E+03   0.000E+00   0.000E+00
   9   -14.00    -418.80 0.2056     -191.13 0.002344  -0.339E-01   0.209E-03 0.00000     0.229E-04   0.763E-03      20.000     0.333E+02   0.370E+03   0.000E+00   0.000E+00
  10   -15.75    -480.51 0.1980     -186.17 0.002386  -0.315E-01  -0.294E-04 0.00000     0.307E-04   0.293E-02      20.000     0.956E+02   0.431E+03   0.000E+00   0.000E+00
  11   -17.50    -568.24 0.1899     -190.64 0.002348  -0.265E-01  -0.177E-03 0.00000     0.361E-04   0.592E-02      20.000     0.164E+03   0.500E+03   0.000E+00   0.000E+00
  12   -19.25    -681.72 0.1813     -202.71 0.002272  -0.192E-01  -0.240E-03 0.00000     0.379E-04   0.767E-02      20.000     0.202E+03   0.579E+03   0.000E+00   0.000E+00
  13   -21.00    -809.84 0.1736     -218.73 0.002176  -0.109E-01  -0.228E-03 0.00000     0.373E-04   0.846E-02      20.000     0.226E+03   0.671E+03   0.000E+00   0.000E+00
  14   -22.75    -900.92 0.1694     -236.80 0.002068  -0.305E-02  -0.175E-03 0.00000     0.333E-04   0.833E-02      20.000     0.250E+03   0.766E+03   0.000E+00   0.000E+00
  15   -24.50    -888.26 0.1700     -252.61 0.001992   0.317E-02  -0.108E-03 0.00000     0.265E-04   0.694E-02      20.000     0.262E+03   0.789E+03   0.000E+00   0.000E+00
  16   -26.25    -810.90 0.1736     -262.07 0.001953   0.721E-02  -0.507E-04 0.00000     0.208E-04   0.544E-02      20.000     0.262E+03   0.775E+03   0.000E+00   0.000E+00
